65: --- wins 🔵: 31, wins 🔴: 18, no winner: 16   ---   winrate 🔵: 0,476923, winrate 🔴: 0,276923   ---   clean winrate 🔵: 0,632653, clean winrate 🔴: 0,367347 ### player1bias: 37, 0,755102
66: --- wins 🔴: 19, wins 🔵: 31, no winner: 16   ---   winrate 🔴: 0,287879, winrate 🔵: 0,469697   ---   clean winrate 🔴: 0,380000, clean winrate 🔵: 0,620000 ### player1bias: 38, 0,760000
67: --- wins 🔵: 31, wins 🔴: 20, no winner: 16   ---   winrate 🔵: 0,462687, winrate 🔴: 0,298507   ---   clean winrate 🔵: 0,607843, clean winrate 🔴: 0,392157 ### player1bias: 38, 0,745098
68: --- wins 🔴: 21, wins 🔵: 31, no winner: 16   ---   winrate 🔴: 0,308824, winrate 🔵: 0,455882   ---   clean winrate 🔴: 0,403846, clean winrate 🔵: 0,596154 ### player1bias: 39, 0,750000
69: --- wins 🔵: 31, wins 🔴: 21, no winner: 17   ---   winrate 🔵: 0,449275, winrate 🔴: 0,304348   ---   clean winrate 🔵: 0,596154, clean winrate 🔴: 0,403846 ### player1bias: 39, 0,750000
70: --- wins 🔴: 21, wins 🔵: 31, no winner: 18   ---   winrate 🔴: 0,300000, winrate 🔵: 0,442857   ---   clean winrate 🔴: 0,403846, clean winrate 🔵: 0,596154 ### player1bias: 39, 0,750000
71: --- wins 🔵: 32, wins 🔴: 21, no winner: 18   ---   winrate 🔵: 0,450704, winrate 🔴: 0,295775   ---   clean winrate 🔵: 0,603774, clean winrate 🔴: 0,396226 ### player1bias: 40, 0,754717
72: --- wins 🔴: 21, wins 🔵: 32, no winner: 19   ---   winrate 🔴: 0,291667, winrate 🔵: 0,444444   ---   clean winrate 🔴: 0,396226, clean winrate 🔵: 0,603774 ### player1bias: 40, 0,754717
73: --- wins 🔵: 32, wins 🔴: 22, no winner: 19   ---   winrate 🔵: 0,438356, winrate 🔴: 0,301370   ---   clean winrate 🔵: 0,592593, clean winrate 🔴: 0,407407 ### player1bias: 40, 0,740741
74: --- wins 🔴: 23, wins 🔵: 32, no winner: 19   ---   winrate 🔴: 0,310811, winrate 🔵: 0,432432   ---   clean winrate 🔴: 0,418182, clean winrate 🔵: 0,581818 ### player1bias: 41, 0,745455
75: --- wins 🔵: 33, wins 🔴: 23, no winner: 19   ---   winrate 🔵: 0,440000, winrate 🔴: 0,306667   ---   clean winrate 🔵: 0,589286, clean winrate 🔴: 0,410714 ### player1bias: 42, 0,750000
76: --- wins 🔴: 24, wins 🔵: 33, no winner: 19   ---   winrate 🔴: 0,315789, winrate 🔵: 0,434211   ---   clean winrate 🔴: 0,421053, clean winrate 🔵: 0,578947 ### player1bias: 43, 0,754386
77: --- wins 🔵: 33, wins 🔴: 24, no winner: 20   ---   winrate 🔵: 0,428571, winrate 🔴: 0,311688   ---   clean winrate 🔵: 0,578947, clean winrate 🔴: 0,421053 ### player1bias: 43, 0,754386
78: --- wins 🔴: 25, wins 🔵: 33, no winner: 20   ---   winrate 🔴: 0,320513, winrate 🔵: 0,423077   ---   clean winrate 🔴: 0,431034, clean winrate 🔵: 0,568965 ### player1bias: 44, 0,758621
79: --- wins 🔵: 33, wins 🔴: 25, no winner: 21   ---   winrate 🔵: 0,417722, winrate 🔴: 0,316456   ---   clean winrate 🔵: 0,568965, clean winrate 🔴: 0,431034 ### player1bias: 44, 0,758621
80: --- wins 🔴: 25, wins 🔵: 33, no winner: 22   ---   winrate 🔴: 0,312500, winrate 🔵: 0,412500   ---   clean winrate 🔴: 0,431034, clean winrate 🔵: 0,568965 ### player1bias: 44, 0,758621
81: --- wins 🔵: 34, wins 🔴: 25, no winner: 22   ---   winrate 🔵: 0,419753, winrate 🔴: 0,308642   ---   clean winrate 🔵: 0,576271, clean winrate 🔴: 0,423729 ### player1bias: 45, 0,762712
82: --- wins 🔴: 26, wins 🔵: 34, no winner: 22   ---   winrate 🔴: 0,317073, winrate 🔵: 0,414634   ---   clean winrate 🔴: 0,433333, clean winrate 🔵: 0,566667 ### player1bias: 46, 0,766667
